Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,Significant,IsInteraction
samplingRate:noiseColor,-3.96838726756609e-05,1.30650540124261e-06,-30.3721745826567,17458343,1.28994601481063e-201,-4.22436253428408e-05,-3.71241200084811e-05,1,1
filterType_6:noiseColor,0.00198093001530079,0.000300801661095847,6.58566649213609,17458343,4.54255396555009e-11,0.00139180954999684,0.00257005048060474,1,1
regressionType_4:noiseColor,-0.023378888700337,0.000300801661095847,-77.7218131285064,17458343,0,-0.0239750891617449,-0.0227826882389291,1,1
regressionType_5:noiseColor,-0.0233217490892948,0.000300932481225994,-77.4985408516024,17458343,0,-0.0239096571529263,-0.0227338410256633,1,1
noiseMagnitude:noiseColor,-0.000601498555397897,0.000210133838465778,-2.86242810847601,17458343,0.00420313889671376,-0.00101336256701895,-0.000189634543776842,1,1
betaGenerated:VGF:samplingRate,2.4697800967527e-05,2.27558978148888e-06,10.8531462764286,17458343,2.00618011804376e-27,2.02378329225779e-05,2.91577729124761e-05,1,1
betaGenerated:VGF:filterType_6,-0.000710756671085461,0.000313086477929001,-2.27001261879499,17458343,0.0232095289396895,-0.00132439945802858,-0.000097114883942342,1,1
betaGenerated:samplingRate:filterType_6,-1.97791736978938e-05,1.91459543703869e-06,-10.3309609869578,17458343,5.11736547745785e-25,-2.35342789869765e-05,-1.60240684088111e-05,1,1
VGF:samplingRate:filterType_6,3.11898538699882e-06,1.88183879530003e-06,1.65745700862578,17458343,0.0975047649975278,-5.78028538234399e-07,6.81599931221204e-06,0,1
betaGenerated:VGF:regressionType_4,-0.00645367044505803,0.000313086477929001,-20.6143659454565,17458343,4.68278022946264e-94,-0.00706731153980065,-0.00584002935031542,1,1
betaGenerated:VGF:regressionType_5,-0.00367578558289791,0.000313481428979042,-11.7258034060576,17458343,9.70897888696038e-32,-0.0042800019264956,-0.0030715692393002,1,1
betaGenerated:samplingRate:regressionType_4,-2.53316764994752e-05,1.91459543703869e-06,-13.2315148803437,17458343,6.59461126742266e-40,-2.90840651498892e-05,-2.15792878490613e-05,1,1
betaGenerated:samplingRate:regressionType_5,-2.82082018696617e-05,1.9163534891538e-06,-14.7196540697895,17458343,1.62988143451573e-49,-3.19641285682744e-05,-2.44522751710489e-05,1,1
VGF:samplingRate:regressionType_4,-1.42397741059551e-05,1.88183879530003e-06,-7.5668272285065,17458343,3.87265736680025e-14,-1.79301219671047e-05,-1.05494262448054e-05,1,1
VGF:samplingRate:regressionType_5,-4.43891397568131e-06,1.88354965419565e-06,-2.35656949283716,17458343,0.0184585866574403,-8.13057929960048e-06,-7.47248651761436e-07,1,1
filterType_6:regressionType_4:samplingRate,6.8978018248063e-06,2.69200820397088e-06,2.56237083278073,17458343,0.010378289867226,1.62141101695635e-06,1.21741926306563e-05,1,1
filterType_6:regressionType_5:samplingRate,8.07804745706804e-06,2.69200820397088e-06,2.99993590576553,17458343,0.00271048249804786,2.80164231923748e-06,1.33544525948986e-05,1,1
betaGenerated:filterType_6:regressionType_4,-0.00126660484551506,0.000430877451561384,-2.93953018449093,17458343,0.00328302073048116,-0.00211113265056975,-0.000422077040460365,1,1
betaGenerated:filterType_6:regressionType_5,0.00111340459791568,0.000431292895694131,2.58164059451756,17458343,0.00982853025451447,0.000268055152063534,0.00195875404376782,1,1
VGF:filterType_6:regressionType_4,0.000613049218505818,0.000423876741543741,1.44623038614388,17458343,0.148139869618626,-0.000217739193180434,0.00144383763019207,0,1
VGF:filterType_6:regressionType_5,0.000460286143264621,0.000424318073028826,1.08482003278638,17458343,0.278089516067688,-0.000371369083622014,0.00129194137015126,0,1
betaGenerated:noiseMagnitude:samplingRate,-1.48640879001448e-04,1.31503490316026e-06,-113.006770131024,17458343,0,-1.51218358395434e-04,-1.46063399607463e-04,1,1
VGF:noiseMagnitude:samplingRate,-9.37419519989022e-06,1.29165543726099e-06,-7.25766234490337,17458343,4.10091064015266e-13,-1.19038476665543e-05,-6.84454333322609e-06,1,1
filterType_6:noiseMagnitude:samplingRate,2.96501090898785e-06,1.84131446650393e-06,1.61026432521406,17458343,0.107394882046618,-6.43740455099916e-07,6.57376227307562e-06,0,1
regressionType_4:noiseMagnitude:samplingRate,2.65785726200048e-05,1.84131446650393e-06,14.4348004553048,17458343,2.45895063059386e-47,2.29697004699982e-05,3.01874447700114e-05,1,1
regressionType_5:noiseMagnitude:samplingRate,2.17987892268893e-05,1.84260898572019e-06,11.8302011847432,17458343,2.83440034175434e-32,1.81903356827853e-05,2.54072427709933e-05,1,1
betaGenerated:noiseMagnitude:filterType_6,0.0151682777855088,0.000313086477929001,48.4469428985455,17458343,0,0.0145267811090684,0.0158097744619492,1,1
VGF:noiseMagnitude:filterType_6,0.00244218040558476,0.000307959636085501,7.93033367095756,17458343,2.17099988454834e-15,0.00183858552024437,0.00304577529092515,1,1
regressionType_4:noiseMagnitude:filterType_6,-0.00218700685699895,0.000423876741543741,-5.15956985888268,17458343,2.47854756424483e-07,-0.00301780045201756,-0.00135621326198034,1,1
regressionType_5:noiseMagnitude:filterType_6,-0.00208012099479717,0.000424318073028826,-4.90211697869265,17458343,9.50060803534178e-07,-0.00291178385213368,-0.00124845813746066,1,1
betaGenerated:noiseMagnitude:regressionType_4,-0.0122879578267897,0.000313086477929001,-39.2497834893892,17458343,0,-0.0128815265827374,-0.011694389070842,1,1
betaGenerated:noiseMagnitude:regressionType_5,-0.0116543601990432,0.000313481428979042,-37.1759673022779,17458343,0,-0.0122585944580341,-0.0110501259400523,1,1
VGF:noiseMagnitude:regressionType_4,-0.000968753386617264,0.000307959636085501,-3.14574699461843,17458343,0.00165467440832498,-0.00157230959414313,-0.000365197179091399,1,1
VGF:noiseMagnitude:regressionType_5,-0.00065978870699218,0.000308394867783127,-2.1396183047946,17458343,0.0323825219063082,-0.00126422155668955,-5.35534193148121e-05,1,1
betaGenerated:noiseColor:samplingRate,5.43948993706413e-05,1.31476957832553e-06,41.3728393636741,17458343,0,5.18199834091898e-05,5.69698153320928e-05,1,1
